0,x,y
17.33000000001539,0.0,300.0
33.0099999999689,50.0,300.0
24.00000000001512,100.0,300.0
21.64999999997974,150.0,300.0
30.989999999988527,200.0,300.0
34.61999999998966,250.0,300.0
41.47999999997154,300.0,300.0
36.28000000002629,350.0,300.0
40.919999999999845,400.0,300.0
47.36999999998659,450.0,300.0
43.87000000001251,500.0,300.0
47.42999999997721,550.0,300.0
44.99000000002695,600.0,300.0
48.9899999999821,650.0,300.0
48.290000000008604,700.0,300.0
67.92000000000797,750.0,300.0
52.900000000022374,800.0,300.0
50.20999999999276,850.0,300.0
60.40999999999741,900.0,300.0
63.27999999999889,950.0,300.0
61.88999999999112,1000.0,300.0
54.049999999961074,1050.0,300.0
47.43999999998749,1100.0,300.0
58.31999999998061,1150.0,300.0
51.94999999996952,1200.0,300.0
52.76999999999532,1250.0,300.0
49.54000000001457,1300.0,300.0
38.69999999999152,1350.0,300.0
40.639999999996235,1400.0,300.0
58.76999999998134,1450.0,300.0
44.000000000004036,1500.0,300.0
6.389999999996121,0.0,900.0
15.829999999965594,50.0,900.0
13.549999999966644,100.0,900.0
7.709999999967465,150.0,900.0
12.450000000008288,200.0,900.0
20.91000000000065,250.0,900.0
22.69000000001853,300.0,900.0
26.410000000005596,350.0,900.0
26.429999999990628,400.0,900.0
33.8299999999947,450.0,900.0
39.97999999995727,500.0,900.0
43.29000000002026,550.0,900.0
53.790000000049076,600.0,900.0
43.19000000002404,650.0,900.0
61.04999999998029,700.0,900.0
82.48999999999285,750.0,900.0
60.42999999998244,800.0,900.0
63.630000000003406,850.0,900.0
69.59000000001936,900.0,900.0
64.82000000005428,950.0,900.0
81.15000000003647,1000.0,900.0
67.48999999999228,1050.0,900.0
67.27000000001482,1100.0,900.0
74.11000000001167,1150.0,900.0
64.65999999999639,1200.0,900.0
70.24999999998727,1250.0,900.0
74.70999999998895,1300.0,900.0
59.74000000001922,1350.0,900.0
69.79000000001179,1400.0,900.0
62.63000000000574,1450.0,900.0
74.92000000002719,1500.0,900.0
14.299999999991542,0.0,1500.0
19.28999999996961,50.0,1500.0
15.940000000043142,100.0,1500.0
20.500000000005514,150.0,1500.0
22.340000000014015,200.0,1500.0
25.079999999988445,250.0,1500.0
32.19000000001415,300.0,1500.0
44.08000000001522,350.0,1500.0
40.52999999998974,400.0,1500.0
42.65000000000185,450.0,1500.0
53.400000000003445,500.0,1500.0
86.09999999997342,550.0,1500.0
103.20000000000107,600.0,1500.0
86.58000000000499,650.0,1500.0
107.60999999995136,700.0,1500.0
174.58000000001306,750.0,1500.0
85.20000000000749,800.0,1500.0
71.9999999999743,850.0,1500.0
75.84000000001367,900.0,1500.0
85.02999999997485,950.0,1500.0
85.68000000003906,1000.0,1500.0
78.60999999998342,1050.0,1500.0
92.57999999995548,1100.0,1500.0
128.66999999999962,1150.0,1500.0
76.89999999996644,1200.0,1500.0
69.57000000003433,1250.0,1500.0
45.84000000001254,1300.0,1500.0
47.39000000000715,1350.0,1500.0
40.890000000004534,1400.0,1500.0
34.300000000015984,1450.0,1500.0
31.14000000003614,1500.0,1500.0
14.80000000000814,0.0,2100.0
24.47000000000088,50.0,2100.0
22.62999999999238,100.0,2100.0
16.700000000007265,150.0,2100.0
18.12000000001035,200.0,2100.0
25.12999999996879,250.0,2100.0
30.38000000003649,300.0,2100.0
45.509999999993056,350.0,2100.0
41.16000000003339,400.0,2100.0
51.990000000046166,450.0,2100.0
46.239999999997394,500.0,2100.0
56.84999999999718,550.0,2100.0
50.71999999998411,600.0,2100.0
63.049999999975626,650.0,2100.0
67.74999999997533,700.0,2100.0
73.05999999999813,750.0,2100.0
69.00000000001683,800.0,2100.0
67.66000000002492,850.0,2100.0
62.840000000008445,900.0,2100.0
66.92999999998506,950.0,2100.0
71.70000000002119,1000.0,2100.0
58.989999999994325,1050.0,2100.0
53.92999999997983,1100.0,2100.0
62.01000000000789,1150.0,2100.0
61.83000000003602,1200.0,2100.0
54.02000000000129,1250.0,2100.0
56.27999999997968,1300.0,2100.0
42.86000000000456,1350.0,2100.0
39.48000000001173,1400.0,2100.0
38.24999999999079,1450.0,2100.0
40.25000000002166,1500.0,2100.0
24.599999999992406,0.0,2700.0
19.449999999991974,50.0,2700.0
21.40999999998172,100.0,2700.0
31.12000000001558,150.0,2700.0
27.07000000000903,200.0,2700.0
27.699999999981628,250.0,2700.0
30.7899999999961,300.0,2700.0
35.15000000000157,350.0,2700.0
40.24999999998613,400.0,2700.0
43.72999999997518,450.0,2700.0
45.35999999998097,500.0,2700.0
46.76000000003455,550.0,2700.0
45.54999999996312,600.0,2700.0
37.16000000000719,650.0,2700.0
53.389999999993165,700.0,2700.0
57.89000000000044,750.0,2700.0
56.409999999971205,800.0,2700.0
54.89000000000743,850.0,2700.0
52.589999999987924,900.0,2700.0
53.619999999980905,950.0,2700.0
51.18999999996987,1000.0,2700.0
56.9600000000392,1050.0,2700.0
52.99000000000831,1100.0,2700.0
51.48999999999404,1150.0,2700.0
42.49999999998977,1200.0,2700.0
43.949999999988165,1250.0,2700.0
42.720000000002756,1300.0,2700.0
41.8200000000013,1350.0,2700.0
47.54000000001923,1400.0,2700.0
42.48999999997949,1450.0,2700.0
37.589999999987356,1500.0,2700.0
