LC01,LC02,LC03,LC04,x,y
10.262937285290414,4.694480175153918,3.6302548165277573,4.270129282172761,0.0,5700.0
15.589250394280421,8.127203211366286,6.2424445811364695,6.777314190670228,1800.0,5700.0
19.1387373784809,11.504742876410695,4.762155978386937,9.022870854363012,3600.0,5700.0
21.28100830010634,18.938110084026096,6.0437367884661555,13.60947533490998,5400.0,5700.0
17.98392684258478,21.55631379465215,9.302634497649782,16.849504749095015,7200.0,5700.0
13.496580519097009,24.601838607523092,8.388261494638106,17.165121586318786,9000.0,5700.0
12.254695076276926,27.89895245385613,8.045640947775595,19.54354576168639,10800.0,5700.0
12.440990517838292,30.17146177256654,9.669378272656687,19.865755728086672,12600.0,5700.0
8.589724410199883,20.938999418587084,8.784708825783964,15.700797207377292,14400.0,5700.0
7.745683211728054,16.970651519583114,6.095037074365778,12.022437739836725,16200.0,5700.0
6.401801552971328,14.04152809533504,6.144444838570488,10.120980197135685,18000.0,5700.0
3.626096058270713,8.638085205055768,5.7930951577680805,7.5871262613477874,19800.0,5700.0
3.6462659472016568,3.3779916419618417,4.126922143907125,4.342929484601356,0.0,1900.0
4.23116426283252,4.872421153535142,7.3321787179103355,6.94459145384145,1800.0,1900.0
5.909226120487055,6.011114889418939,14.316173348446679,9.747275511135868,3600.0,1900.0
4.6301839952826915,5.309133359629008,17.393316934937857,11.720139553733205,5400.0,1900.0
5.834828012584805,9.165454294289708,21.225936055468964,15.328881984257343,7200.0,1900.0
6.620480979390135,9.148431867896278,26.27773371486569,16.115797413466996,9000.0,1900.0
6.27207385771856,8.489966850247475,28.317416051855282,18.156339977351056,10800.0,1900.0
5.025778025371006,9.601171044339294,29.06559924235707,16.966779936756705,12600.0,1900.0
4.200025637820715,8.131743982923716,21.670772066059932,14.305802522653101,14400.0,1900.0
3.165890823856406,7.499893461636664,20.668948489712733,14.321547580806858,16200.0,1900.0
2.9790202347680967,6.741573432928438,15.268970989972093,10.836004696953474,18000.0,1900.0
2.2506260852135243,5.621148670653,9.773990899366078,7.321303032391981,19800.0,1900.0
