Time	Dis1	Dis2	Dis3	Dis4	Dis5	Dis6	Dis7	Acc7
0	0.016	0.01245	0.0025	0.0075	0.0025	-0.00625	-0.00725	-3.93745E-4
0.01	0.0135	0.01245	-0.005	0.005	0	-0.00625	-0.00975	-4.5937E-4
0.02	0.01725	0.00995	0.00125	0.00375	0	-0.0075	-0.006	-6.56245E-4
0.03	0.0085	0.00245	-0.01	0	-0.0025	-0.01375	-0.01475	-0.001049995
0.04	0.006	0.0062	-0.005	0	-0.00625	-0.01375	-0.0135	-5.9062E-4
0.05	0.0135	0.0062	-0.005	0.00625	-0.00125	-0.0075	-0.0085	-2.62495E-4
0.06	0.0135	0.0062	-0.00375	0.0025	0	-0.00875	-0.00975	-3.2812E-4
0.07	0.0085	0.0062	-0.00375	0.005	-0.00125	-0.0075	-0.00725	-1.9687E-4
0.08	0.0135	0.00495	-0.00375	-0.0025	-0.0025	-0.01	-0.006	-0.00124687
0.09	0.0085	0.0037	-0.00625	0.0025	-0.00125	-0.0075	-0.011	-5.24995E-4
0.1	0.0085	0.0037	-0.00625	0.0025	-0.00625	-0.00625	-0.01225	-8.5312E-4
0.11	0.01475	0.0062	-0.0025	0.00375	-0.0025	-0.01	-0.011	-7.87495E-4
0.12	0.016	0.00995	0.00125	0.00625	0.00125	-0.00875	-0.0085	-3.2812E-4
0.13	0.011	0.00245	-0.005	0.00125	-0.0025	-0.00875	-0.006	-5.9062E-4
0.14	0.0135	0.0037	-0.00375	0	-0.005	-0.01	-0.01225	-0.001049995
0.15	0.01475	0.0087	-0.00125	0.0025	0	-0.00375	-0.006	-5.24995E-4
0.16	0.011	0.00745	-0.005	0.005	-0.00125	-0.01	-0.0085	-6.56245E-4
0.17	0.011	0.0012	-0.00125	0.00375	0	-0.0075	-0.00725	-8.5312E-4
0.18	0.016	0.0087	-0.00125	0.00625	0.00375	-0.0075	-0.006	-6.56245E-4
0.19	0.01475	0.0062	0.00125	0.0075	-0.00125	-0.00625	-0.00475	-7.2187E-4
0.2	0.0135	0.00745	0	0.0025	0.0025	-0.005	-0.00725	-6.562E-5
0.21	0.01225	0.0037	-0.00375	0.00375	-0.0025	-0.01375	-0.01225	-6.56245E-4
0.22	0.011	0.00745	-0.00125	0.0025	-0.00125	-0.00625	-0.011	-2.62495E-4
0.23	0.01225	0.0062	-0.00125	0.00375	-0.00125	-0.00875	-0.006	-5.24995E-4
0.24	0.01225	0.0062	-0.00125	0.00125	-0.0025	-0.00875	-0.006	-3.2812E-4
0.25	0.016	0.0112	-0.0025	0.00375	0.00125	-0.0075	-0.00975	-3.93745E-4
0.26	0.016	0.00995	0	0.00625	0.0025	-0.00375	-0.00475	-3.2812E-4
0.27	0.016	0.00995	0.0025	0.00375	0	-0.00875	-0.0085	-2.62495E-4
0.28	0.01475	0.00745	-0.00125	0.0075	0.0025	-0.00125	-0.00975	-4.5937E-4
0.29	0.0135	0.00745	-0.0025	0	0	-0.0075	-0.011	-3.2812E-4
0.3	0.0085	0.00495	-0.005	-0.0025	-0.00125	-0.0075	-0.0085	-4.5937E-4
0.31	0.016	0.01245	-0.00375	0.00375	0.005	0.00125	-0.006	-5.24995E-4
0.32	0.00975	0.00745	-0.0025	0.00625	-0.00125	-0.0075	-0.00975	6.563E-5
0.33	0.0085	0.00745	-0.00625	0.00125	-0.0025	-0.01125	-0.011	-8.5312E-4
0.34	0.0085	0.0062	-0.005	-0.00125	-0.00125	-0.00875	-0.011	-5.9062E-4
