Time	Dis1	Dis2	Dis3	Dis4	Dis5	Dis6	Dis7	Acc7
0	0.0025	-0.00625	-0.00375	-0.0075	-0.0075	-0.02	-0.03125	-2.625E-4
0.01	0.00375	-0.005	-0.00375	-0.0025	-0.00875	-0.0175	-0.03125	-1.3125E-4
0.02	0.00125	-0.00125	-0.0025	-0.00375	-0.005	-0.015	-0.02625	-3.28125E-4
0.03	0.00375	-0.0075	-0.00625	-0.00875	-0.0075	-0.01875	-0.02875	1.96875E-4
0.04	0.00125	-0.0075	-0.005	-0.01125	-0.01125	-0.02125	-0.02875	-6.5625E-5
0.05	0.005	-0.00375	-0.00875	-0.00625	-0.00875	-0.02125	-0.03125	-1.96875E-4
0.06	0.00875	-0.00375	-0.005	-0.005	-0.0025	-0.01625	-0.0275	-2.625E-4
0.07	0.00625	0.00125	-0.0025	-0.005	-0.00875	-0.015	-0.03	-1.3125E-4
0.08	0.01	0.00125	0.00125	-0.0025	-0.00375	-0.01625	-0.025	5.25E-4
0.09	0.00125	-0.00625	-0.00875	-0.005	-0.00875	-0.02	-0.03	-3.9375E-4
0.1	0.00875	-0.00375	-0.0025	-0.0025	-0.00625	-0.01875	-0.0275	-1.3125E-4
0.11	0.00875	-0.00125	0	-0.00125	-0.005	-0.01625	-0.02875	-5.25E-4
0.12	0.01	-0.00125	-0.00375	-0.00375	-0.00875	-0.0175	-0.0275	-4.59375E-4
0.13	0.00125	-0.01	-0.00625	-0.01125	-0.01125	-0.0175	-0.03375	-2.625E-4
0.14	0.005	-0.0075	-0.0075	-0.0075	-0.0075	-0.02125	-0.03	1.084202E-19
0.15	0.00875	-0.0025	-0.0025	-0.00125	-0.0075	-0.01875	-0.02875	1.3125E-4
0.16	0.00625	-0.0025	-0.00125	-0.00375	-0.00625	-0.015	-0.02875	2.625E-4
0.17	0.01	0.0025	0.00125	-0.0025	-0.005	-0.0125	-0.0275	5.25E-4
0.18	0.005	-0.005	-0.005	-0.00375	-0.00625	-0.01625	-0.03125	-1.96875E-4
0.19	0.005	-0.00375	-0.00375	-0.00625	-0.00625	-0.0175	-0.0275	3.28125E-4
0.2	0.00125	-0.005	-0.00625	-0.0075	-0.01375	-0.01875	-0.03375	-2.625E-4
0.21	0.005	-0.005	-0.00125	-0.005	-0.00875	-0.02125	-0.0325	-1.3125E-4
0.22	0.0025	-0.005	-0.00375	-0.00375	-0.01	-0.01625	-0.0325	1.96875E-4
0.23	0.00375	-0.00125	-0.0025	-0.005	-0.00625	-0.02	-0.03	-6.5625E-5
0.24	0.005	-0.00125	-0.005	-0.00375	-0.005	-0.0175	-0.0275	3.28125E-4
0.25	0.00625	-0.00875	-0.005	-0.00875	-0.00875	-0.02	-0.02875	6.5625E-5
0.26	0.005	-0.00625	-0.005	-0.00375	-0.00875	-0.02	-0.03	6.5625E-5
0.27	0.00125	-0.00625	-0.0075	-0.0075	-0.0075	-0.0175	-0.03125	-1.3125E-4
0.28	0.00375	-0.00875	-0.00625	-0.01	-0.0125	-0.02125	-0.03125	1.3125E-4
0.29	0.00625	-0.005	-0.005	-0.00625	-0.00625	-0.015	-0.0275	3.28125E-4
0.3	0.005	-0.005	-0.00625	-0.00375	-0.0075	-0.01875	-0.02625	-3.28125E-4
0.31	0.00125	-0.01	-0.00625	-0.00875	-0.00875	-0.02	-0.0275	-3.28125E-4
0.32	0.005	-0.00375	-0.005	-0.005	-0.0125	-0.01625	-0.02875	1.96875E-4
0.33	0.005	0	-0.00125	-0.005	-0.0075	-0.015	-0.02875	1.3125E-4
0.34	0.00125	-0.005	-0.0075	-0.005	-0.00875	-0.01875	-0.0275	-2.625E-4
0.35	0.00375	-0.005	-0.00375	-0.0025	-0.0075	-0.0175	-0.02875	-3.28125E-4
0.36	0.00875	-0.00375	-0.00375	-0.00125	-0.0075	-0.0175	-0.0275	6.5625E-5
0.37	0.005	-0.0075	-0.005	-0.005	-0.01	-0.0175	-0.025	1.3125E-4
