Time	Dis1	Dis2	Dis3	Dis4	Dis5	Dis6	Dis7	Acc7
0	0.00375	0.00875	0.00125	0.00375	0.0025	0.00125	-0.01375	-7.21875E-4
0.01	0	0.00625	-0.00125	0.00125	0	-0.0125	-0.015	-1.3125E-4
0.02	-0.00375	0.00125	-0.0025	-0.00125	0	-0.00875	-0.01375	-3.28125E-4
0.03	-0.00125	0.0025	-0.005	-0.0025	0.00125	-0.01	-0.02	2.625E-4
0.04	-0.0025	0.00125	-0.00375	-0.0025	0	-0.01	-0.01625	-3.28125E-4
0.05	0.00125	0.00375	-0.00375	-0.00125	0.00125	-0.00625	-0.01375	-3.28125E-4
0.06	0	0.00375	-0.00125	0.00125	0	-0.00625	-0.015	-7.875E-4
0.07	0.0025	0.00625	-0.00125	0.005	0.005	-0.00375	-0.01375	-6.5625E-5
0.08	-0.0025	0.00375	-0.00125	0	-0.00125	-0.0125	-0.01625	-6.5625E-4
0.09	0.0025	0.00625	0	0	-0.00125	-0.00375	-0.015	-5.90625E-4
0.1	0	0.00625	0.00125	0.00125	0.00125	-0.005	-0.01	-2.625E-4
0.11	0.00125	0.0025	-0.00125	0.00125	-0.00125	-0.01	-0.015	-1.3125E-4
0.12	0.00375	0.00625	0.0025	0.0025	0.00875	-0.00375	-0.0125	-6.5625E-5
0.13	-0.00375	0.0075	-0.00375	-0.00125	0.0025	-0.00625	-0.0175	-6.5625E-5
0.14	0.00375	0.0075	-0.0025	0	0.005	-0.005	-0.01125	-6.5625E-5
0.15	0.00125	0.0075	0.00125	0	0.0025	-0.00375	-0.0075	1.084202E-19
0.16	0	0.005	-0.00125	0	0.00125	-0.00875	-0.015	1.96875E-4
0.17	0.0025	0.00625	-0.00375	-0.0025	-0.00375	-0.0075	-0.01625	-2.625E-4
0.18	0	0.00625	0.0025	0.00375	0.005	-0.0075	-0.01375	6.5625E-5
0.19	-0.00125	0.005	-0.00125	-0.00125	0	-0.0075	-0.015	-1.3125E-4
0.2	-0.00125	0.00125	-0.005	0	0	-0.0075	-0.01375	-5.25E-4
0.21	-0.00125	0.00625	-0.0025	-0.00125	0.00375	-0.005	-0.01125	-1.96875E-4
0.22	-0.0025	0.0025	-0.00125	0	0	-0.0075	-0.01375	-6.5625E-4
0.23	0.0025	0.00125	-0.0025	0.00125	0.00125	-0.00625	-0.01375	-2.625E-4
0.24	0.00375	0.00875	0.00125	0.00375	0.0025	-0.00625	-0.01	-7.21875E-4
0.25	0.0025	0.0075	0.0025	0.00375	0.005	-0.005	-0.01125	6.5625E-5
0.26	-0.0025	0.0025	-0.0025	0.00125	0.0025	-0.00625	-0.01125	1.3125E-4
0.27	0	0.005	-0.00125	0.00125	0.0025	-0.0025	-0.0125	-2.625E-4
0.28	-0.00125	0.005	-0.0025	0	0.00125	-0.0075	-0.01375	-6.5625E-5
0.29	0	0.00375	-0.00125	0.0025	0.00125	-0.00625	-0.01125	1.084202E-19
0.3	0.00125	0.0075	0	0.00125	0.00375	-0.00625	-0.0125	-2.625E-4
0.31	-0.0025	0.00375	-0.0025	-0.0025	-0.00125	-0.00625	-0.01375	-1.3125E-4
0.32	0.0025	0.00375	-0.0025	-0.00125	-0.0025	-0.005	-0.0125	-6.5625E-4
0.33	0.005	0.0075	0.0025	0.00125	0.0025	-0.00625	-0.0125	-5.25E-4
0.34	-0.00125	0.00125	-0.005	0.00125	0.00125	-0.0025	-0.01375	-1.96875E-4
0.35	-0.00125	0.0075	-0.00125	0	0	-0.005	-0.0125	-2.625E-4
0.36	0.00375	0.0075	0	0.00125	0.00625	-0.0025	-0.01125	1.3125E-4
0.37	0.0025	0.00375	-0.0025	-0.00125	0.00125	-0.00375	-0.015	-1.96875E-4
0.38	-0.00375	0.00125	-0.00125	0	-0.00125	-0.00625	-0.0125	-1.3125E-4
0.39	0.00875	0.00375	-0.00125	0.00375	0.00625	-0.0025	-0.01	3.28125E-4
0.4	-0.00125	0.005	-0.00125	0.0025	-0.00125	-0.00375	-0.0125	-5.25E-4
0.41	0.0025	0.005	-0.00125	0.00125	0	-0.00625	-0.01625	-3.9375E-4
0.42	-0.00625	0.00375	-0.00375	-0.00125	-0.0025	-0.01375	-0.0175	-3.9375E-4
0.43	0.00125	0.005	-0.00125	0.00125	0	-0.0075	-0.01625	1.3125E-4
0.44	-0.00125	0.00125	-0.00125	-0.00125	0.00375	-0.005	-0.01375	-5.90625E-4
0.45	-0.00125	0.0025	-0.0025	0	-0.00125	-0.01	-0.01375	-2.625E-4
0.46	0.0025	0.00625	0	0.00125	0.00375	-0.005	-0.0125	-5.90625E-4
0.47	0	0.00375	0	-0.00625	-0.00375	-0.0075	-0.01875	1.084202E-19
0.48	0.00375	0	-0.0025	-0.0025	0.00125	-0.00875	-0.01625	-3.28125E-4
0.49	-0.00375	-0.00625	-0.00375	-0.005	-0.00125	-0.00875	-0.015	-6.5625E-5
0.5	0	0.0025	0	0	0.0025	-0.00625	-0.015	-3.9375E-4
0.51	0.00125	0.00125	-0.00125	0	0.0025	-0.00875	-0.01375	-1.3125E-4
0.52	0.0025	-0.0025	-0.00125	-0.0025	0.00375	-0.00875	-0.01375	-6.5625E-5
0.53	0.0025	0.0025	-0.00125	0.00125	0.00375	-0.0025	-0.0125	-2.625E-4
0.54	-0.00125	0.0025	-0.00625	-0.00375	0	-0.00875	-0.015	-5.90625E-4
0.55	0.00375	0.00375	-0.0025	-0.0025	0.0025	-0.00625	-0.015	-1.96875E-4
0.56	-0.0025	0.00125	0.00125	-0.00125	0	-0.00875	-0.015	1.3125E-4
0.57	0	0	-0.0025	0	0.0025	-0.00875	-0.01625	-4.59375E-4
0.58	0.00375	0.00625	-0.0025	0.00125	0	-0.005	-0.01625	-6.5625E-5
0.59	0.00375	0.00625	-0.0025	0.0025	0.00125	-0.005	-0.0125	-3.9375E-4
0.6	0.005	0.005	0.00375	0	0.00125	-0.0075	-0.015	-3.28125E-4
0.61	0.00125	0.00375	-0.0025	-0.00125	0.00375	-0.0075	-0.01375	-7.21875E-4
0.62	-0.00125	0.00375	-0.00125	-0.00125	0.00125	-0.0075	-0.015	-2.625E-4
0.63	0.0025	0.005	-0.00125	0.0025	0.00625	-0.005	-0.01125	-3.9375E-4
0.64	0	0.0025	-0.0025	0.00125	0.00375	-0.00375	-0.0125	-1.3125E-4
0.65	-0.005	0.00125	-0.00625	-0.0025	-0.00125	-0.00875	-0.0175	-5.25E-4
0.66	-0.00125	0.00125	-0.00625	-0.00375	-0.0025	-0.01	-0.02	-6.5625E-4
0.67	-0.00125	0.0025	-0.005	-0.005	-0.00375	-0.01125	-0.0175	-1.96875E-4
0.68	-0.0025	0.0025	-0.00125	0	-0.00125	-0.01125	-0.0175	-4.59375E-4
0.69	0.005	0.005	0	0	0.00375	-0.00375	-0.01625	1.084202E-19
0.7	0.00375	0.005	0.0025	0.00125	0.00375	-0.00625	-0.0125	1.084202E-19
0.71	0.00125	0.00625	0.00125	0.00125	0.005	-0.005	-0.0125	2.625E-4
0.72	-0.0025	0.00125	-0.0025	-0.00375	0	-0.0075	-0.0125	-2.625E-4
0.73	0	0.005	-0.00125	-0.00125	0.00375	-0.00625	-0.0125	-6.5625E-4
