Time	Dis1	Dis2	Dis3	Dis4	Dis5	Dis6	Dis7	Acc7
0	0.01625	0.00625	-0.0035	0	0.0025	-0.01	-0.02	3.2812E-4
0.01	0.015	0.01125	-0.001	-0.00125	-0.0025	-0.01	-0.0225	-6.563E-5
0.02	0.01875	0.00875	-0.00225	-0.00375	-0.00125	-0.01	-0.02	-6.563E-5
0.03	0.01625	0.00375	-0.0035	-0.005	-0.005	-0.01125	-0.0225	-2.62505E-4
0.04	0.0175	0.005	-0.00225	-0.00625	-0.0025	-0.00875	-0.01875	-4.5938E-4
0.05	0.0225	0.01125	0.0015	0.00125	0.0025	-0.00375	-0.01875	-2.62505E-4
0.06	0.0225	0.01	-0.001	0.00375	0	-0.0075	-0.02	-4.5938E-4
0.07	0.0225	0.01	0.0015	0	-0.00125	-0.0075	-0.02125	-1.9688E-4
0.08	0.015	0.0025	-0.001	0	0	-0.01	-0.02125	-7.2188E-4
0.09	0.01875	0.00625	-0.001	-0.00125	-0.00125	-0.00875	-0.02	-5.25005E-4
0.1	0.0175	0.00625	2.5E-4	-0.00125	0	-0.00625	-0.01875	-1.31255E-4
0.11	0.0175	0.00875	-0.0035	-0.0025	-0.00375	-0.01375	-0.01875	-7.87505E-4
0.12	0.015	0.005	-0.0035	-0.00625	-0.005	-0.01125	-0.025	-1.31255E-4
0.13	0.01875	0.0075	-0.0035	0.00125	0.0025	-0.0075	-0.02125	-1.9688E-4
0.14	0.01625	0.01375	-0.001	0.00125	-0.0025	-0.00875	-0.02	-1.9688E-4
0.15	0.01625	0.00875	2.5E-4	0	-0.00125	-0.01	-0.02125	-1.31255E-4
0.16	0.0175	0.0025	-0.00225	-0.00625	-0.0025	-0.01125	-0.0225	6.562E-5
0.17	0.015	0.00625	-0.0035	-0.00625	-0.00375	-0.00875	-0.01875	-6.563E-5
0.18	0.0125	0.0025	-0.00475	-0.005	-0.005	-0.0075	-0.0225	-1.9688E-4
0.19	0.01375	0.0025	-0.00600000000000001	-0.0025	-0.0025	-0.01	-0.02	-2.62505E-4
0.2	0.0175	0.01125	2.5E-4	0.0025	0	-0.01	-0.0175	-5.9063E-4
0.21	0.0175	0.005	-0.00475	-0.00375	-0.0025	-0.01	-0.0175	-5.25005E-4
0.22	0.015	0.00625	-0.00600000000000001	-0.00375	-0.00125	-0.01125	-0.01875	-4.5938E-4
0.23	0.0175	0.0075	-0.001	0.0025	-0.0025	-0.0075	-0.02	-6.56255E-4
0.24	0.0125	0.00625	-0.00225	-0.0025	0	-0.01125	-0.0225	-4.5938E-4
0.25	0.015	0.0075	-0.00225	-0.0025	-0.0025	-0.0075	-0.02	-2.62505E-4
0.26	0.01375	0.01	-0.001	-0.0025	-0.00125	-0.00875	-0.01875	-3.2813E-4
0.27	0.0175	0.005	-0.00225	-0.0025	0	-0.00625	-0.01875	-1.31255E-4
0.28	0.015	0.00625	-0.0035	-0.00125	-0.00125	-0.00875	-0.01875	-2.62505E-4
0.29	0.01125	0.005	-0.0035	-0.0075	-0.005	-0.00875	-0.02125	1.31245E-4
0.3	0.01625	0.00375	-0.00725	-0.005	-0.00125	-0.01375	-0.02	-1.31255E-4
0.31	0.01625	0.01	-0.001	-0.00625	0	-0.0075	-0.01625	-1.9688E-4
0.32	0.01875	0.00875	-0.00225	-0.00125	0.0025	-0.0075	-0.015	-5E-9
0.33	0.02	0.01	0.00275	-0.00125	0.005	-0.0075	-0.015	-6.563E-5
0.34	0.0175	0.00875	-0.001	0.00125	0.00125	-0.0075	-0.01875	-1.31255E-4
0.35	0.01625	0.005	-0.00475	-0.00625	-0.005	-0.01125	-0.02375	-3.2813E-4
0.36	0.015	0.005	-0.00600000000000001	-0.0025	-0.00125	-0.0075	-0.02125	-3.2813E-4
0.37	0.015	0.005	-0.00225	-0.00625	-0.0025	-0.01125	-0.02375	-5.25005E-4
0.38	0.0225	0.01375	2.5E-4	0.00625	0.0025	-0.00375	-0.01375	-2.62505E-4
0.39	0.02	0.01	-0.001	0	0	-0.0075	-0.01625	-5.25005E-4
0.4	0.01875	0.01125	0.004	0	-0.00125	-0.0075	-0.01375	-6.563E-5
0.41	0.0175	0.00875	-0.001	0.00125	-0.0025	-0.01125	-0.02	-7.87505E-4
0.42	0.01875	0.01125	0.00275	0	-0.00125	-0.0075	-0.01625	-2.62505E-4
0.43	0.0175	0.0075	-0.00475	-0.00375	-0.00125	-0.0175	-0.02375	-6.563E-5
0.44	0.01	0.005	-0.00475	-0.00875	-0.00375	-0.0125	-0.02125	-0.00111563
0.45	0.015	0.005	-0.00475	-0.0025	-0.00375	-0.01125	-0.0175	-5.9063E-4
