LF0,LF1,HF0,HF1,x,y
29.680000000027462,49.01000000003819,26.43798490217145,69.72379429797797,0.0,900.0
80.52999999996757,355.34999999995875,338.7389052512423,854.6039547326541,750.0,900.0
24.29000000002901,54.5500000000132,19.65247490241759,23.675939221111918,1500.0,900.0
11.559999999981585,23.879999999998347,1.3848930614826007,-3.5039977075150373,0.0,1500.0
135.17000000000223,791.4299999999841,495.8979341154532,1240.2830127446514,750.0,1500.0
9.800000000019793,19.46000000003778,-1.764277219759509,-16.972892827671906,1500.0,1500.0
24.80000000002036,68.72000000001321,34.50347196131103,66.74058725162868,0.0,2100.0
81.25999999997191,229.3799999999635,216.97074963242173,603.0589167007377,750.0,2100.0
22.580000000012035,63.03000000002612,47.70329214890486,87.74411203769606,1500.0,2100.0
24.879999999996016,41.58999999997803,28.63605619894362,49.80506404759165,0.0,2700.0
65.6500000000193,212.57999999996002,151.1448575895426,527.8598779016695,750.0,2700.0
34.320000000001016,84.71000000000117,50.939612810506596,132.19038407145197,1500.0,2700.0
